약국수,약국명,대표전화,시도,도로명주소,Latitude,Longitude,지번주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
208,복광당약국,053-857-1150,경상북도,"경상북도 경산시 자인면 일연로 80,",35.8202786,128.8229841,경상북도 경산시 자인면 서부리 12-17번지 /자인면사무소맞은편,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
209,복음약국,053-252-1325,대구광역시,대구광역시 중구 달성로 29 (대신동),35.8677115,128.5821045,,09:30~24:00,09:30~24:00,09:30~24:00,09:30~24:00,09:30~24:00,09:30~24:00,12:00~24:00,
210,봉명메디칼약국,042-543-7572,대전광역시,"대전광역시 유성구 계룡로 120, 1층 102호 (봉명동)",36.3526347,127.3436966,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~22:00,09:00~20:00,09:00~20:00
211,부광약국,041-578-6770,충청남도,"충청남도 천안시 서북구 쌍용대로 296-1, 1층 일부 (성정동)",36.8234823,127.1372126,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~21:00,08:30~22:30
212,부민약국,051-806-8074,부산광역시,부산광역시 부산진구 부전로66번길 50 (부전동),35.15579,129.0574593,부산광역시 부산진구 부전2동 517-2,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~22:30,09:00~22:30,09:00~21:00,
213,부부온누리약국,064-742-5252,제주특별자치도,제주특별자치도 제주시 신대로16길 41,33.486712,126.4921577,제주특별자치도 제주시 연동 283-12,15:00~27:00,15:00~27:00,15:00~27:00,15:00~27:00,15:00~27:00,17:00~27:00,17:00~27:00,17:00~27:00
214,부영약국,032)875-2391,인천광역시,인천광역시 미추홀구 한나루로 411 (학익동),37.4443385,126.6650161,인천광역시 남구 학익동 262-10,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,19:00~22:00,13:00~22:30
215,부천우리365약국,032-673-0424,경기도,"경기도 부천시 소사로 722, 103호 (원종동, 제이디 스카이빌)",37.520522,126.8050998,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30
216,부평판도라약국,032-584-7595,인천광역시,"인천광역시 부평구 경인로 947 (부평동, 태성메디칼 109호110호)",37.4877173,126.7249523,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~18:30,,
217,분당백화점약국,031-701-2231,경기도,"경기도 성남시 분당구 서현로210번길 17, 106호(서현동,광림프라자)",37.3854207,127.1245159,경기도 성남시 분당구 서현동 247-5,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
218,비온뒤숲속약국,02-332-3250,서울특별시,"서울특별시 마포구 월드컵로 111, (망원동)",37.5581472,126.9078145,서울특별시 마포구 망원2동 482-9,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,09:00~25:00,10:00~25:00
219,비타민약국,061-284-7571,전라남도,"전라남도 목포시 하당로 278, (옥암동)",34.8110434,126.426473,전라남도 목포시 옥암동 956번지,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~18:00,22:00~24:00,22:00~24:00
220,사나약국,051-922-9422,부산광역시,"부산광역시 부산진구 중앙대로 701, 1층 (부전동)",35.1554671,129.0589281,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
221,사당365약국,02-588-9050,서울특별시,"서울특별시 관악구 과천대로 955, 1층 (남현동)",37.4759007,126.9811662,,08:00~23:30,08:00~23:30,08:00~23:30,08:00~23:30,08:00~23:30,08:00~23:00,08:00~23:00,09:00~23:00
222,사랑약국,7.09E+09,경기도,"경기도 수원시 팔달구 갓매산로 51, 105호 (매산로2가, 에스알프라자23차)",37.2681743,127.0049911,,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59,09:00~23:59
223,사랑약국,054-247-2069,경상북도,경상북도 포항시 북구 우창동로22번길 3-3 (우현동),36.0611324,129.3621122,경상북도 포항시 북구 우현1지구 토지구획정리사업지구 7블록 6롯트,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~18:00,09:00~18:00,09:00~18:00
224,사랑약국,063-229-1400,전라북도,전라북도 전주시 완산구 백제대로 74 (삼천동1가),35.7961623,127.1211426,전라북도 전주시 완산구 삼천동1가 732-1,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
225,삼성약국,031-928-5436,경기도,"경기도 의정부시 비우로 60, 인창빌딩 1층 104호 (녹양동)",37.7578787,127.033285,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
226,삼송스타약국,02-2063-9100,경기도,"경기도 고양시 덕양구 고양대로 1955, 지하2층 (동산동, 스타필드고양)",37.6485651,126.9010264,,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,,10:00~23:00
227,삼육오사랑약국,032-575-6849,인천광역시,"인천광역시 서구 칠천왕로33번길 14, 1층 일부호 (석남동)",37.509423,126.6703703,,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
228,삼육오약국,033-763-4072,강원도,강원도 원주시 단구로 386 (단구동),37.3222927,127.9561511,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
229,삼익약국,02-963-5490,서울특별시,"서울특별시 동대문구 회기로29길 35, 1층 (휘경동)",37.59169,127.0579836,서울특별시 동대문구 이문동 392-6,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,14:00~22:30,,
230,삼일약국,031-256-1131,경기도,경기도 수원시 장안구 수성로245번길 64 (정자동),37.2919328,126.9976768,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
231,삼정약국,02-712-4941,서울특별시,"서울특별시 용산구 원효로19길 72-1, 1층 (원효로3가)",37.5334471,126.9558212,서울특별시 용산구 원효로3가 255-2,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~22:00,15:00~21:00,
232,상계1번약국,02-938-1082,서울특별시,"서울특별시 노원구 한글비석로20길 23-1, 1층 (중계동)",37.6602217,127.0736974,,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:59,10:00~23:59,10:00~23:00
233,새 구정프라자약국,033-642-3474,강원도,강원도 강릉시 구정면 범일로 447,37.7279051,128.8788394,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
234,새고운약국,02-973-9286,서울특별시,"서울특별시 노원구 동일로 1003, 1층 (공릉동)",37.6381051,127.0825889,"서울특별시 노원구 공릉1,3동 615-21",09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,10:00~25:00,10:00~25:00
235,새대우약국,02-2245-6510,서울특별시,"서울특별시 성동구 용답25길 14, (용답동)",37.561807,127.0534725,서울특별시 성동구 용답동 26-7,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,08:30~22:30,09:00~22:00,
236,새동보약국,053-941-0427,대구광역시,대구광역시 동구 신암남로27길 81,35.8837863,128.6308756,대구광역시 동구 신암4동 333-1,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:00~22:00,08:30~22:30
237,새모란21세기약국,031-758-1940,경기도,"경기도 성남시 중원구 성남대로1148번길 2 , 1층 101,102,103호 (성남동, 소평빌딩) (성남동)",37.4322326,127.1295004,"경기도 성남시 중원구 성남동 3492 소평빌딩 , 1층 101,102,103호 (성남동, 소평빌딩)",08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~22:00,08:00~22:00
238,새모범약국,031-898-2292,경기도,경기도 용인시 수지구 포은대로 552,37.3252976,127.1100001,경기도 용인시 수지구 죽전동 1703,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~24:00,
239,새복음약국,055-325-8114,경상남도,경상남도 김해시 활천로 35,35.2307644,128.8934638,경상남도 김해시 삼정동 98-10,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,22:00~24:00,22:00~24:00,22:00~24:00
240,새봄약국,054-859-1254,경상북도,"경상북도 안동시 경동로 656, 홈플러스 (운흥동)",36.5599574,128.7308459,경상북도 안동시 운흥동 247-28 홈플러스,10:00~22:20,10:00~22:20,10:00~22:20,10:00~22:20,10:00~22:20,10:00~22:20,10:00~22:20,10:00~22:20
241,새봄약국,032-562-8050,인천광역시,인천광역시 서구 중봉대로 587,37.5208488,126.6485304,인천광역시 서구 경서동 956-20 홈플러스 인천청라점,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,,10:00~23:00
242,새생명약국,042-864-4661,대전광역시,"대전광역시 유성구 전민로70번길 38, (전민동)",36.3987791,127.4025047,대전광역시 유성구 전민동 337-2,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,,
243,새시대약국,031-245-4119,경기도,"경기도 수원시 팔달구 동말로48번길 6, (화서동)",37.2783591,126.9994084,경기도 수원시 팔달구 화서1동 175-6,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~22:30,,10:00~14:00
244,새시장약국,02-436-7554,서울특별시,"서울특별시 중랑구 망우로62길 81, (망우동)",37.5959976,127.0996279,서울특별시 중랑구 망우본동 465-15,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,,
245,새싹약국,031-211-2583,경기도,경기도 수원시 영통구 효원로 363,37.2613995,127.0405068,"경기도 수원시 영통구 효원로 363 (매탄동, 위브하늘채아파트상가)",09:00~13:00,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~16:00,09:00~13:00,
246,새인선약국,02-466-4159,서울특별시,서울특별시 성동구 광나루로11길 41-1 (송정동),37.5514251,127.0678489,서울특별시 성동구 송정동 73-880,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,09:00~22:00
247,새종로약국,062-373-3358,광주광역시,"광주광역시 서구 시청로 13, 104호 (치평동, 상무리채2)",,,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,11:00~22:00,11:00~22:00
248,새중앙약국,055-385-0576,경상남도,경상남도 양산시 서창로 59-1 (명동),35.4068126,129.1642434,,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
249,새하늘약국,02-971-0610,서울특별시,서울특별시 노원구 동일로 1308,37.6466975,127.0657247,서울특별시 노원구 중계동 515-2,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:30~22:30
250,새한약국,02-2651-1577,서울특별시,"서울특별시 강서구 등촌로 173, 1층 (등촌동)",37.5453501,126.8620483,서울특별시 강서구 등촌2동 531-1,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,18:00~22:30,
251,새현대약국,032-341-7467,경기도,경기도 부천시 역곡로 8 (역곡동),37.4860596,126.8117413,경기도 부천시 역곡동 82-10,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,08:30~25:00,08:30~25:00,
252,샘물약국,02-971-2268,서울특별시,서울특별시 노원구 노원로 43 (공릉동),37.6253856,127.0857632,서울특별시 노원구 공릉2동 230-15,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,,
253,서문제일약국,5.43E+08,경상북도,경상북도 포항시 남구 오천읍 정몽주로 651,35.9759907,129.4135185,경상북도 포항시 남구 오천읍 용덕리 357-2,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
254,서신토마토약국,063-274-5755,전라북도,전라북도 전주시 완산구 온고을로 66,35.8342088,127.1155489,전라북도 전주시 완산구 서신동 962-3,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
255,서울드림약국,031-915-1199,경기도,"경기도 고양시 일산동구 고봉로 20-21, 119호 (장항동, 양우로데오랜드)",37.6637136,126.7656335,,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30,10:30~22:30,17:00~22:30,,17:00~23:00
256,서울메디약국,02-501-5063,서울특별시,서울특별시 강남구 역삼로 406 (대치동),37.5005716,127.0516483,서울특별시 강남구 대치동 908-2,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,11:00~22:00,
257,서울약국,044-863-8871,세종특별자치시,"세종특별자치시 남세종로 450, 보람빌딩 104호 (보람동)",,,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
258,서울약국,031-842-9515,경기도,경기도 의정부시 시민로131번길 7,37.7383956,127.049731,경기도 의정부시 의정부1동 173-16,10:30~23:30,10:30~23:30,10:30~23:30,10:30~23:30,10:30~23:30,10:30~23:30,15:00~22:00,
259,서울중앙약국,02-313-4483,서울특별시,"서울특별시 용산구 청파로 378, 1층 (동자동)",37.5531772,126.9731956,서울특별시 용산구 동자동 43-205 서울역(철도역) 1층,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00
260,선약국,031-895-5888,경기도,"경기도 수원시 팔달구 덕영대로 899, 세진브론즈빌 102호 (매산로1가)",37.2680919,127.0003279,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
261,선약국,031-456-7125,경기도,경기도 의왕시 전주남이길 28 (오전동),37.3503773,126.9772553,경기도 의왕시 오전동 375-12,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
262,선운포도약국,062-943-0031,광주광역시,"광주광역시 광산구 선운중앙로 46, 1층 (선암동)",35.1426818,126.7836212,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30
263,설약국,02-2294-8274,서울특별시,서울특별시 성동구 마조로1길 39(행당동),37.5608476,127.0392299,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~23:00,12:00~21:00,08:00~23:00
264,설약국,02-825-8272,서울특별시,"서울특별시 동작구 노량진로 124, 1층 (노량진동)",37.5132357,126.9396243,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
265,성가약국,043-836-2405,충청북도,충청북도 증평군 증평읍 광장로 91,36.7855793,127.5827178,충청북도 증평군 증평읍 교동리 30,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
266,성균관약국,031-292-7300,경기도,"경기도 수원시 장안구 서부로 2107, (율전동)",37.2968783,126.9701243,경기도 수원시 장안구 율전동 433-79,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
267,성모약국,061-724-5707,전라남도,전라남도 순천시 해룡면 순광로 220,34.9630783,127.5426979,전라남도 순천시 해룡면 복성리595,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,17:00~22:30,17:00~22:30
268,성모온누리약국,031-824-6969,경기도,"경기도 의정부시 행복로 31, 1층 (의정부동)",37.7413937,127.0495565,,09:00~22:20,09:00~22:20,09:00~22:20,09:00~22:20,09:00~22:20,,,
269,성지약국,02-972-9890,서울특별시,"서울특별시 중랑구 공릉로12가길 52, (묵동)",37.6174917,127.0821762,서울특별시 중랑구 묵1동 153-35,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,17:30~22:30,17:30~22:30,17:30~22:30
270,성화열린약국,043-233-8207,충청북도,충청북도 청주시 서원구 서부로 1350,36.6174604,127.4483079,충청북도 청주시 서원구 성화개신죽림동 717,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
271,세계로약국,061-653-9777,전라남도,"전라남도 여수시 여서로 158, (여서동)",34.7479037,127.6991471,전라남도 여수시 여서동 490-7,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:30~22:00,08:30~22:00
272,세계로약국,041-577-6770,충청남도,충청남도 천안시 서북구 월봉로 93 (쌍용동),36.7989777,127.1178911,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,10:00~22:00,10:00~22:00
273,세계로약국,02-962-5446,서울특별시,서울특별시 성북구 화랑로40길 54 (석관동),37.6130719,127.0627789,,09:00~22:50,09:00~22:50,09:00~22:50,09:00~22:50,09:00~22:50,09:00~22:50,,08:30~16:00
274,세곡온누리약국,070-8828-7963,서울특별시,"서울특별시 강남구 헌릉로569길 27, 2층 (세곡동)",37.466266,127.1167873,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
275,세란약국,042-486-0214,대전광역시,"대전광역시 서구 둔산로 34, 102호 (둔산동,씨엔씨타워)",36.3514313,127.3774922,대전광역시 서구 둔산2동 1039,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
276,세븐웰약국,032-328-8703,경기도,"경기도 부천시 길주로 118, 3층 (상동, 홈플러스부천상동점)",37.5041313,126.7551956,경기도 부천시 원미구 상동 540-1 삼성홈플러스상동점홈플러스상동점,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~24:00,09:00~23:00,
277,세원약국,02-922-6060,서울특별시,"서울특별시 성북구 동소문로20가길 51 (동선동1가, 수국빌딩)",37.5937325,127.0188153,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,15:00~23:00,09:00~23:00
278,세종약국,041-579-3675,충청남도,"충청남도 천안시 동남구 서부대로 276 , 101호 (신방동)",36.792662,127.1293374,"충청남도 천안시 동남구 신방동 886 학산프라자 , 101호 (신방동)",08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~23:00,09:00~23:00
279,세종약국,051-758-4915,부산광역시,"부산광역시 수영구 광안해변로277번길 3, (민락동)",35.1560191,129.1240187,부산광역시 수영구 민락동 176-29,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
280,세화당약국,02-434-8794,서울특별시,서울특별시 중랑구 중랑역로 21 (중화동),37.5958659,127.0759351,서울특별시 중랑구 중화동 320-27 세화당약국,11:30~22:30,11:30~22:30,11:30~22:30,11:30~22:30,11:30~22:30,11:30~22:30,11:00~23:30,11:30~22:30
281,세화약국,064-784-8442,제주특별자치도,제주특별자치도 제주시 구좌읍 세화10길 1,33.5208293,126.8588644,제주특별자치도 제주시 구좌읍 상도리 1324-7,08:00~19:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~19:00,08:00~15:00,,08:00~12:00
282,센타약국,032-552-1168,인천광역시,"인천광역시 계양구 계산새로 93, 103호 (용종동,밀레니엄프라자)",37.5381183,126.7384962,인천광역시 계양구 용종동 211-4,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,11:00~22:00,,
283,센터약국,031-842-3600,경기도,"경기도 의정부시 행복로 32, 1층 (의정부동)",37.7413825,127.049956,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
284,센트럴약국,031-870-1999,경기도,"경기도 의정부시 시민로 80, 센트럴타워 1층 106호 (의정부동)",37.737919,127.0440529,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
285,셀약국,02-337-7959,서울특별시,"서울특별시 마포구 양화로 72, 1층 118호 (서교동)",37.5507398,126.9167103,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,21:00~25:00,22:00~25:00
286,소담약국,062-651-4948,광주광역시,"광주광역시 서구 풍암중앙로 39, 광주은행(대복빌딩) 1층 (풍암동)",35.1251667,126.8787116,,08:30~19:30,08:30~19:30,08:30~19:30,08:30~23:00,08:30~23:00,08:30~14:00,,
287,소래종로약국,032-431-5117,인천광역시,"인천광역시 남동구 소래역남로16번길 29, 가온우노시티 하버파크 1층 108호 (논현동)",37.400963,126.733533,,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,
288,송우수약국,031-541-8953,경기도,"경기도 포천시 소흘읍 솔모루로 9,",37.8242646,127.1412717,경기도 포천시 소흘읍 송우리 730-60 홈플러스1층,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,
289,송탄온누리약국,031-662-1102,경기도,"경기도 평택시 서정북로 71, (서정동)",37.0707857,127.057419,경기도 평택시 서정동 782-4,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
290,송파24약국,02-400-1502,서울특별시,"서울특별시 송파구 송파대로 111, 하비오길 송파대로202동 161호 (문정동, 파크하비오)",37.4870867,127.1206346,,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00
291,수내365약국,070-8829-0081,경기도,"경기도 성남시 분당구 내정로173번길 49, 궁전프라자-3 1층 111호 (수내동)",37.3773461,127.1158293,,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
292,수락프라자약국,02-935-7523,서울특별시,서울특별시 노원구 동일로 1669 (상계동),37.6774161,127.054858,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,09:00~22:00
293,수복약국,02-714-0667,서울특별시,서울특별시 용산구 새창로12길 12 (도원동),37.538641,126.9572539,,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00
294,수암약국,031-466-6258,경기도,"경기도 안양시 만안구 안양로292번길 31, (안양동)",37.3992338,126.9233415,경기도 안양시 만안구 안양1동 674-179,10:30~25:00,10:30~25:00,10:30~25:00,10:30~25:00,10:30~25:00,10:30~25:00,10:30~13:00,10:30~25:00
295,수약국,02-563-1601,서울특별시,"서울특별시 강남구 선릉로69길 19 (역삼동, 역삼래미안아파트)",37.4972813,127.0499616,서울특별시 강남구 역삼동 757 역삼래미안아파트,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,
296,수원제일큰약국,031-8067-7474,경기도,"경기도 수원시 팔달구 중부대로 20, 1층 (구천동)",37.2751108,127.0180327,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
297,수유프라자약국,02-985-0071,서울특별시,서울특별시 강북구 덕릉로 42 (수유동),37.6340352,127.0182154,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,
298,수정온누리약국,054-535-6118,경상북도,경상북도 상주시 중앙로 170 (남성동),36.4084701,128.1623561,경상북도 상주시 서성동 117-5 1층,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
299,쉼표약국,070-8728-0008,서울특별시,"서울특별시 송파구 올림픽로 지하 265, 잠실역2호선 B1층 126호 (신천동)",37.4386979,126.7902928,,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00
300,스마일약국,053-322-1897,대구광역시,"대구광역시 북구 동암로12길 8, 칠곡홈플러스 1층 (동천동)",35.944848,128.5559605,,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
301,스마일약국,053-521-7831,대구광역시,대구광역시 달서구 달구벌대로 1467,35.8494607,128.5274266,대구광역시 달서구 용산동 230-11(지하1층)/성서 홈플러스 내 230-11,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
302,스타약국,02-3481-6688,서울특별시,"서울특별시 서초구 강남대로 437, 대원빌딩 1층 (서초동)",37.5013247,127.0254986,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,,
303,시온약국,02-417-1365,서울특별시,서울특별시 송파구 백제고분로27길 19 (삼전동),37.5048252,127.0929611,,13:00~27:00,13:00~27:00,13:00~27:00,13:00~27:00,13:00~27:00,13:00~27:00,13:00~27:00,13:00~27:00
304,시장약국,02-532-6210,서울특별시,서울특별시 동작구 동작대로29길 17 (사당동),37.4879346,126.9809066,,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~19:00,10:00~15:00,08:30~19:00
305,시장약국,031-486-7033,경기도,경기도 안산시 단원구 원초로 30,37.3283607,126.801689,경기도 안산시 단원구 원곡2동 846,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,12:00~22:30,09:00~22:00
306,시화마트약국,031-497-4904,경기도,"경기도 시흥시 정왕대로 210 (정왕동, 이마트 1층)",37.345879,126.7368994,,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:00~23:00,10:00~23:00
307,신도림서진약국,02-000-0000,서울특별시,"서울특별시 구로구 새말로 102, 신도림포스빌 135,136호 (구로동)",37.5055924,126.8913665,,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
308,신라약국,02-467-1192,서울특별시,"서울특별시 성동구 광나루로11길 26-1, (송정동)",37.5500942,127.0670382,서울특별시 성동구 송정동 73-608,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,11:00~22:00
309,신명약국,02-387-1835,서울특별시,서울특별시 은평구 은평로 226 (응암동),37.6008456,126.9326779,서울특별시 은평구 응암동 61-6,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,,
310,신미소약국,02-855-9842,서울특별시,서울특별시 관악구 시흥대로 578 (신림동),37.4841828,126.9032353,서울특별시 관악구 신림동 1643 광안프라자,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~23:00,10:00~23:00
